[111, 123, 118]
[113, 118, 106]
[117, 121, 101]
[127, 125, 95]
[137, 131, 96]
[138, 133, 96]
[132, 139, 125]
[143, 149, 132]
[146, 154, 132]
[145, 155, 132]
[148, 158, 134]
[139, 150, 127]
[125, 138, 116]
[110, 125, 110]
[100, 115, 105]
[90, 99, 95]
[84, 89, 88]
[81, 77, 78]
[82, 74, 75]
[95, 82, 83]
[119, 105, 105]
[131, 118, 119]
[149, 141, 141]
[157, 155, 156]
[155, 159, 162]
[152, 162, 165]
[147, 160, 166]
[141, 159, 165]
[137, 155, 163]
[135, 152, 162]
[133, 150, 161]
[132, 150, 162]
[125, 142, 155]
[119, 138, 152]
[115, 133, 148]
[109, 125, 142]
[101, 116, 134]
[99, 113, 131]
[103, 116, 135]
[105, 118, 136]
[111, 122, 139]
[116, 125, 139]
[121, 126, 139]
[128, 131, 141]
[131, 135, 141]
[138, 141, 146]
[142, 148, 151]
[129, 140, 142]
[111, 125, 126]
[108, 121, 119]
[108, 115, 108]
[102, 106, 92]
[119, 118, 97]
[128, 123, 91]
[142, 137, 99]
[141, 136, 94]
[90, 99, 93]
[107, 117, 108]
[114, 124, 113]
[115, 126, 112]
[117, 130, 116]
[117, 131, 118]
[108, 122, 111]
[95, 108, 100]
[80, 91, 87]
[71, 76, 76]
[70, 68, 70]
[73, 65, 67]
[80, 66, 68]
[94, 76, 78]
[115, 98, 101]
[130, 115, 119]
[143, 134, 137]
[150, 151, 154]
[156, 163, 165]
[153, 165, 168]
[145, 161, 166]
[139, 157, 164]
[134, 153, 161]
[132, 150, 160]
[132, 150, 161]
[132, 149, 162]
[127, 144, 157]
[119, 136, 150]
[115, 132, 147]
[109, 125, 141]
[101, 115, 133]
[97, 110, 129]
[101, 112, 132]
[106, 117, 136]
[107, 117, 135]
[108, 115, 132]
[117, 123, 138]
[126, 129, 141]
[130, 133, 142]
[130, 136, 143]
[132, 140, 145]
[123, 134, 137]
[109, 120, 121]
[99, 109, 107]
[95, 101, 92]
[99, 100, 85]
[120, 117, 94]
[130, 127, 95]
[140, 138, 98]
[145, 144, 102]
[70, 80, 80]
[71, 82, 79]
[77, 89, 84]
[85, 98, 92]
[87, 101, 93]
[89, 102, 95]
[81, 92, 86]
[69, 78, 76]
[65, 69, 70]
[61, 59, 62]
[61, 54, 58]
[72, 56, 61]
[84, 63, 68]
[101, 76, 81]
[118, 96, 101]
[130, 115, 120]
[139, 132, 136]
[149, 151, 154]
[155, 164, 166]
[150, 165, 168]
[143, 161, 167]
[137, 156, 163]
[134, 151, 160]
[132, 148, 159]
[133, 149, 161]
[132, 148, 160]
[128, 144, 157]
[121, 136, 150]
[116, 130, 146]
[111, 124, 142]
[102, 114, 133]
[97, 108, 128]
[98, 108, 129]
[102, 111, 131]
[105, 114, 133]
[105, 112, 130]
[114, 119, 134]
[122, 126, 138]
[125, 130, 140]
[128, 135, 143]
[127, 135, 142]
[118, 128, 133]
[108, 118, 120]
[94, 101, 101]
[85, 91, 84]
[95, 97, 83]
[112, 110, 90]
[125, 124, 95]
[137, 135, 101]
[144, 144, 108]
[73, 83, 88]
[67, 76, 78]
[59, 68, 68]
[59, 69, 68]
[56, 65, 64]
[55, 64, 62]
[55, 61, 61]
[57, 60, 62]
[60, 58, 63]
[66, 60, 66]
[73, 59, 67]
[85, 65, 72]
[101, 75, 83]
[113, 87, 95]
[124, 101, 109]
[132, 119, 126]
[138, 134, 140]
[148, 152, 156]
[147, 158, 162]
[144, 161, 165]
[139, 157, 163]
[135, 153, 161]
[133, 149, 159]
[131, 146, 157]
[129, 144, 155]
[129, 144, 156]
[127, 141, 154]
[121, 136, 150]
[116, 130, 145]
[112, 124, 141]
[103, 114, 133]
[97, 107, 127]
[99, 107, 128]
[101, 109, 129]
[102, 110, 130]
[105, 112, 129]
[109, 115, 130]
[116, 124, 135]
[121, 128, 138]
[124, 133, 143]
[121, 130, 139]
[116, 128, 134]
[101, 111, 116]
[90, 96, 98]
[80, 85, 81]
[80, 82, 73]
[97, 97, 82]
[111, 112, 91]
[123, 124, 98]
[129, 132, 106]
[95, 104, 114]
[83, 94, 101]
[72, 81, 86]
[60, 68, 72]
[57, 63, 67]
[58, 63, 68]
[61, 64, 68]
[67, 67, 72]
[74, 70, 76]
[82, 72, 80]
[90, 75, 85]
[102, 79, 90]
[111, 88, 98]
[115, 93, 103]
[126, 110, 120]
[134, 124, 132]
[137, 135, 143]
[141, 147, 153]
[141, 153, 158]
[140, 155, 161]
[136, 152, 160]
[136, 150, 160]
[134, 148, 158]
[132, 144, 157]
[128, 141, 153]
[125, 138, 151]
[125, 139, 152]
[122, 135, 149]
[116, 129, 145]
[111, 123, 140]
[103, 114, 132]
[100, 109, 129]
[100, 108, 130]
[102, 108, 129]
[101, 108, 128]
[103, 110, 127]
[105, 113, 127]
[108, 118, 129]
[117, 128, 137]
[118, 130, 139]
[114, 125, 135]
[108, 119, 128]
[93, 102, 110]
[84, 91, 95]
[72, 76, 76]
[69, 72, 69]
[81, 84, 76]
[94, 95, 82]
[106, 108, 92]
[115, 118, 101]
[118, 130, 146]
[115, 126, 138]
[107, 117, 125]
[103, 111, 115]
[98, 103, 108]
[95, 98, 103]
[92, 94, 100]
[95, 93, 99]
[98, 91, 100]
[102, 92, 102]
[106, 91, 104]
[111, 92, 107]
[117, 98, 113]
[119, 102, 116]
[127, 114, 127]
[131, 125, 136]
[134, 134, 144]
[135, 142, 151]
[135, 148, 154]
[137, 151, 158]
[137, 151, 159]
[136, 150, 159]
[136, 147, 159]
[135, 146, 159]
[130, 140, 153]
[126, 137, 150]
[123, 135, 148]
[114, 126, 141]
[110, 122, 137]
[108, 120, 136]
[103, 112, 131]
[99, 108, 128]
[101, 108, 128]
[103, 109, 130]
[102, 109, 128]
[104, 110, 127]
[103, 113, 126]
[106, 117, 128]
[111, 124, 133]
[112, 126, 136]
[108, 122, 132]
[100, 112, 123]
[93, 102, 112]
[80, 86, 94]
[66, 70, 75]
[58, 60, 60]
[58, 59, 56]
[66, 68, 61]
[75, 77, 69]
[80, 82, 72]
[121, 132, 151]
[123, 135, 150]
[120, 132, 143]
[116, 125, 135]
[116, 123, 131]
[112, 116, 125]
[107, 108, 117]
[107, 106, 115]
[110, 107, 117]
[111, 105, 119]
[115, 108, 124]
[117, 106, 124]
[116, 105, 124]
[118, 107, 127]
[122, 116, 132]
[124, 122, 137]
[128, 132, 144]
[129, 137, 147]
[130, 141, 149]
[135, 146, 154]
[141, 153, 160]
[142, 153, 162]
[139, 148, 159]
[137, 145, 158]
[132, 140, 153]
[126, 135, 149]
[120, 130, 143]
[110, 122, 136]
[106, 116, 132]
[102, 112, 130]
[100, 110, 128]
[100, 108, 128]
[101, 107, 128]
[104, 109, 129]
[103, 109, 126]
[104, 110, 126]
[103, 112, 125]
[107, 118, 129]
[109, 122, 132]
[107, 120, 132]
[103, 116, 127]
[99, 111, 123]
[95, 105, 116]
[80, 86, 96]
[65, 69, 76]
[58, 60, 63]
[52, 53, 54]
[50, 51, 49]
[53, 53, 50]
[56, 57, 53]
